RA_ITEMID	ADVNUM	PARCEL	FACEVALUE	ASSESSEDVALUE	PERCENTAGE_BID	DOLLAR_BID
3178633	000072	05-0-013836	2157.44	306133		
3178636	000075	05-0-028345	15257.75	1200300		
3178641	000080	05-0-011825	3953.02	273333		
3178644	000083	05-0-004500	4336.09	209300		
3178645	000084	05-0-014638	4130.9	303200		
3178646	000085	05-0-092833	7095.44	540933		
3178647	000086	05-0-026997	2026.91	284733		
3178648	000087	05-0-000637	3959.08	292600		
3178650	000089	05-0-064856	13645.52	1066200		
3178653	000092	05-0-071208	6751.01	499833		
3178654	000093	05-1-046041	3180.36	139000		
3178655	000094	05-1-430822	7020.61	411933		
3178657	000096	06-0-021859	3412.38	262133		
3178658	000097	06-0-021867	1452.61	93233		
3178659	000098	06-0-061656	1732.78	115700		
3178660	000099	06-0-003427	3256.35	233067		
3178661	000100	06-0-027482	5090.29	381700		
3178662	000101	06-0-028373	1443.94	189167		
3178663	000102	06-0-031501	3139.14	223667		
3178664	000103	06-0-008879	1458.44	93700		
3178666	000105	06-0-011764	3250.48	233900		
3178667	000106	06-0-058876	23039.68	540500		
3178668	000107	06-0-033423	2555.39	371367		
3178669	000108	06-0-433139	2135.56	148000		
3178670	000109	06-0-024033	1821.66	253333		
3178673	000112	06-0-068774	6234.18	471867		
3178674	000113	06-0-021557	3135.8	223400		
3178675	000114	06-1-006299	2376.64	287133		
3178677	000116	06-1-034381	3699.65	229500		
3178678	000117	06-1-035744	4232.02	265333		
3178679	000118	06-1-036473	5559.73	354700		
3178680	000119	06-1-061303	2468.03	146600		
3178681	000120	06-1-035329	7553.51	488900		
3178682	000121	06-1-043429	1897.41	227667		
3178683	000122	06-1-073158	3096.45	188900		
3178684	000123	06-1-065198	7604.04	492300		
3178686	000125	06-1-038484	1262.51	10100		
3178690	000129	06-1-059694	4211.72	263967		
3178691	000130	07-0-026978	4524.91	56200		
3178693	000132	07-0-115512	3447.4	253200		
3178697	000136	07-0-000995	3756.66	278000		
3178698	000137	07-0-110162	12621.48	290600		
3178700	000139	07-0-025033	1261.41	77900		
3178706	000145	07-0-027982	4659.64	345600		
3178707	000146	07-0-019904	2752.83	197500		
3178708	000147	07-0-030770	2881.27	207800		
3178709	000148	07-0-433447	4460.9	629570		
3178716	000155	07-0-080921	3348.9	245300		
3178720	000159	07-0-021232	2039.69	135500		
3178721	000160	07-0-021178	3336.56	239500		
3178722	000161	07-0-021240	1711.33	233000		
3178723	000162	07-0-022832	2784.15	195200		
3178726	000165	07-0-025238	1131.72	67500		
3178728	000167	07-0-021542	2377.98	267700		
3178729	000168	07-0-011938	1300.07	81000		
3178731	000170	07-0-111843	1924.81	131100		
3178735	000174	07-0-007353	2103.28	140600		
3178736	000175	07-0-039042	1973.45	135000		
3178738	000177	07-0-030045	1866.21	126400		
3178739	000178	07-0-030053	1657.4	51600		
3178740	000179	07-0-038402	1976.67	276500		
3178741	000180	07-0-037120	4765.63	354100		
3178747	000186	07-1-067461	8924.9	138300		
3178753	000192	07-1-118651	1264.01	170000		
3178754	000193	07-1-060076	3329.41	162900		
3178755	000194	07-1-107749	4564.52	216800		
3178756	000195	07-1-079249	3159.62	153800		
3178757	000196	07-1-057369	2094.27	0		
3178758	000197	07-1-058578	6372.36	68900		
3178762	000201	07-1-070292	1903.47	176800		
3178763	000202	07-1-060521	38518.73	2048900		
3178766	000205	07-1-053029	2762.21	132500		
3178767	000206	07-1-055013	2829.38	136100		
3178768	000207	07-1-062613	2381.58	112100		
3178769	000208	07-1-067313	2700.63	129200		
3178770	000209	07-1-068980	2316.28	108600		
3178771	000210	07-1-123833	4316.43	215800		
3178772	000211	07-1-100213	3887.29	192800		
3178773	000212	07-1-072848	1587.71	142200		
3178774	000213	07-1-028334	52155.99	2779800		
3178776	000215	07-1-106912	2009.33	188400		
3178777	000216	07-1-097441	2345.17	225200		
3178778	000217	07-1-086601	5103.82	258000		
3178779	000218	07-1-093934	3885.43	192700		
3178780	000219	07-1-130759	2454.35	116000		
3178785	000224	07-1-431134	10421.38	543000		
3178786	000225	07-1-072937	3025.3	146600		
3178789	000228	08-0-002096	3455.45	249033		
3178793	000232	08-0-025622	3869.04	282200		
3178797	000236	08-0-000492	3025.02	218400		
3178798	000237	08-0-023476	591.42	4000		
3178800	000239	08-0-005494	1540.44	167800		
3178801	000240	08-0-015236	1230.02	186633		
3178802	000241	08-0-002002	1216	151800		
3178804	000243	08-0-025770	11164.4	867233		
3178805	000244	08-1-048983	1866.41	198000		
3178807	000246	08-1-055491	3420.83	210933		
3178808	000247	08-1-057974	1453.06	204667		
3178811	000250	08-1-031592	1791.84	214500		
3178812	000251	08-1-067589	2685.82	158333		
3178813	000252	08-1-062013	1107.97	340467		
3178819	000258	08-1-053634	1910.75	305533		
3178820	000259	08-1-031150	2464.12	244300		
3178821	000260	08-1-058571	1096.98	214400		
3178823	000262	08-1-045976	1503.57	216733		
3178824	000263	08-1-035237	1374.94	166667		
3178826	000265	09-0-001859	8964.49	138100		
3178827	000266	09-0-007512	1553.31	204967		
3178828	000267	09-0-003401	1987.17	136100		
3178831	000270	09-0-001158	4623.06	342667		
3178833	000272	09-0-011145	2931.35	433000		
3178834	000273	09-0-002472	7398.04	565200		
3178835	000274	09-0-008977	4263.93	313867		
3178836	000275	09-0-433925	9415.69	727000		
3178837	000276	09-0-029508	2222.43	154967		
3178839	000278	10-0-430216	1343.72	84500		
3178840	000279	10-0-004586	6309.41	477900		
3178841	000280	10-0-004608	1492.11	96400		
3178845	000284	11-0-005497	5000.07	372900		
3178846	000285	11-0-006523	5916.61	446400		
3178848	000287	11-1-016162	1561.17	176367		
3178849	000288	11-1-010520	4085.38	247100		
3178850	000289	11-1-010296	12658.63	805267		
3178851	000290	12-0-000308	1349.95	85000		
3178852	000291	12-0-002971	2155.42	305800		
3178853	000292	12-0-003064	1349.59	173700		
3178854	000293	12-1-004346	3332.26	380700		
3178855	000294	12-1-006209	2142.69	113400		
3178856	000295	12-1-006268	2139.41	113200		
3178857	000296	13-0-004285	5047.45	376700		
3178858	000297	13-0-006539	4288.27	328600		
3178860	000299	13-0-433444	2326.76	163333		
3178861	000300	13-0-038856	327.67	500		
3178862	000301	13-0-000204	36186.71	2873833		
3178863	000302	13-1-011966	1424.51	79300		
3178864	000303	13-1-011974	5857.15	389133		
3178865	000304	13-1-013764	3161.32	200700		
3178867	000306	13-1-012067	4477.53	292700		
3178868	000307	13-1-011702	6081.29	404800		
3178869	000308	13-1-038600	4838.53	317933		
3178871	000310	14-0-013423	3745.17	272267		
3178872	000311	14-0-001565	3939.27	287833		
3178876	000315	14-0-006567	3964.21	289833		
3178877	000316	14-0-012834	3485.79	251467		
3178878	000317	14-0-000526	8989.63	692833		
3178879	000318	14-0-008462	5124.3	386867		
3178880	000319	14-0-006508	4744.02	352367		
3178881	000320	14-0-031561	5383.31	403633		
3178883	000322	14-0-007776	4606.85	341367		
3178884	000323	14-0-050493	2298.09	161033		
3178888	000327	14-0-049711	8474.21	651500		
3178889	000328	14-0-012915	2996.54	212233		
3178890	000329	14-0-012923	1786.4	120000		
3178891	000330	14-0-027041	1739.9	478533		
3178892	000331	14-0-013725	3730.21	271067		
3178893	000332	14-0-050884	5461.86	409933		
3178895	000334	14-0-027920	5113.96	382033		
